Reachability,Admin Status,Device Name,IP Address,DNS Name,Device Type,Last Inventory Collection Status,Last Successful Collection Time,Software Version,Location,Creation Timestamp,Serial Number
REACHABLE,Managed,BDG-ASBR-EN1-C506Z,114.1.188.33,114.1.188.33,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:19:21 PM UTC",7.3.2,03SRN754 ASABRI_SRN_ST BANDUNG WJRO,"March 14, 2022 1:35:04 PM UTC",FOC2551N3YJ
REACHABLE,Managed,BDG-ATBH-EN1-C506Z,114.1.186.179,114.1.186.179,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:04:38 PM UTC",7.3.1,03BDG561 CIRANGRANG_BDG_PL BANDUNG WEST JAVA,"June 21, 2021 5:37:09 PM UTC",FOC2522NGEJ
REACHABLE,Managed,BDG-AWGR-EN1-C506Z,114.1.187.121,114.1.187.121,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:20:49 PM UTC",7.3.2,03SRN038 AWILIGAR WEST JAVA,"April 21, 2022 7:20:00 PM UTC",FOC2551N428
REACHABLE,Managed,BDG-BAJT-EN1-C516Z,114.1.186.146,114.1.186.146,Cisco NCS 540X-16Z4G8Q2C-D Router,Completed,"July 20, 2022 8:06:31 PM UTC",7.3.1,03SRN279 BATUJAJAR_MT WEST JAVA,"July 5, 2021 3:54:36 PM UTC",FOC2506P4PV
REACHABLE,Managed,BDG-BATW-EN1-C516Z,114.1.186.216,114.1.186.216,Cisco NCS 540X-16Z4G8Q2C-D Router,Completed,"July 20, 2022 8:11:44 PM UTC",7.3.1,03IND138 BATAWI_IND BANDUNG WEST JAVA ,"November 3, 2021 6:03:40 AM UTC",FOC2535N9AW
REACHABLE,Managed,BDG-BBKN-EN1-C55A2,114.1.187.106,114.1.187.106,Cisco NCS 55A2-MOD-S,Completed,"July 20, 2022 8:14:10 PM UTC",7.3.2,03SRN144 BABAKAN_DAGO WEST JAVA,"January 24, 2022 1:53:56 PM UTC",FOC2545R0PV
REACHABLE,Managed,BDG-BBPH-EN1-C516Z,114.1.188.96,114.1.188.96,Cisco NCS 540X-16Z8Q2C-D Router,Completed,"July 20, 2022 8:22:51 PM UTC",7.5.2,03SRN746 BEBENG_PAHE_SRN_IB WEST JAVA,"May 18, 2022 1:51:38 PM UTC",FOC2615KZBU
REACHABLE,Managed,BDG-BBPT-EN1-C516Z,114.1.186.136,114.1.186.136,Cisco NCS 540X-16Z8Q2C-D Router,Completed,"July 20, 2022 8:25:29 PM UTC",7.5.2,03SRN071 BDG-BBPT-EN1-C516Z WEST JAVA,"July 13, 2022 3:40:01 PM UTC",FOC2614K9CH
REACHABLE,Managed,BDG-BBT2-CN1-C9910,114.1.186.1,114.1.186.1,Cisco ASR 9910 Router,Completed,"July 21, 2022 3:07:07 AM UTC",7.5.2,03BDG063 MSC Indosat Bandung Buah Batu,"April 22, 2021 7:38:11 AM UTC",FOC2450R0W8
REACHABLE,Managed,BDG-BBT2-CN2-C9910,114.1.186.2,114.1.186.2,Cisco ASR 9910 Router,Completed,"July 20, 2022 8:41:00 PM UTC",7.5.2,03BDG063 MSC Indosat Bandung Buah Batu,"April 22, 2021 7:38:44 AM UTC",FOC2450R0VN
REACHABLE,Managed,BDG-BBT2-P-NCS5K,114.0.8.3,114.0.8.3,Cisco NCS 5508,Completed,"June 23, 2022 2:58:30 AM UTC",7.3.2,03BDG063 - Bandung Buah Batu,"November 26, 2019 3:08:10 AM UTC",FGE22204HDQ
REACHABLE,Managed,BDG-BBTU-EN1-C516Z,114.1.188.198,114.1.188.198,Cisco NCS 540X-16Z8Q2C-D Router,Completed,"July 20, 2022 8:24:43 PM UTC",7.5.2,103185 BUAHBATU1_MT WEST JAVA,"July 4, 2022 7:15:09 AM UTC",FOC2615KZDC
REACHABLE,Managed,BDG-BCBD-EN1-C506Z,114.1.186.194,114.1.186.194,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:04:30 PM UTC",7.3.1,03BDG475 BEC_BDG22 WEST JAVA,"June 12, 2021 9:27:39 PM UTC",FOC2515NZ3R
REACHABLE,Managed,BDG-BDGA-EN1-C506Z,114.1.188.101,114.1.188.101,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:17:02 PM UTC",7.3.2,03SRN048_BANDUNG_ASRI BANDUNG WEST JAVA,"February 19, 2022 2:20:57 PM UTC",FOC2553N1B9
REACHABLE,Managed,BDG-BDGK-EN1-C506Z,114.1.188.183,114.1.188.183,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:24:31 PM UTC",7.5.2,600380 BANDUNGKULON_PL WEST JAVA,"June 28, 2022 1:13:05 PM UTC",FOC2551N3Y2
REACHABLE,Managed,BDG-BDRH-EN1-C506Z,114.1.188.205,114.1.188.205,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:25:03 PM UTC",7.5.2,102446 BANDARAHUSEN_MT WEST JAVA,"July 6, 2022 12:31:27 AM UTC",FOC2546N931
REACHABLE,Managed,BDG-BECB-EN1-C506Z,114.1.186.193,114.1.186.193,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:04:27 PM UTC",7.3.1,03BDG038 BEC_BDG WEST JAVA,"June 12, 2021 9:25:59 PM UTC",FOC2515NZ3D
REACHABLE,Managed,BDG-BGDM-EN1-C516Z,114.1.186.243,114.1.186.243,Cisco NCS 540X-16Z4G8Q2C-D Router,Completed,"July 20, 2022 8:09:41 PM UTC",7.3.1,03SMD186_BJGRAGADIEM_SMD SUMEDANG WEST JAVA,"October 2, 2021 7:49:02 AM UTC",FOC2536N3S9
REACHABLE,Managed,BDG-BGND-EN1-C506Z,114.1.186.250,114.1.186.250,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:12:13 PM UTC",7.3.2,03SMD190_BAGINDA_SMD SUMEDANG WEST JAVA,"November 22, 2021 3:15:10 PM UTC",FOC2542NBGB
REACHABLE,Managed,BDG-BHBL-EN1-C506Z,114.1.188.32,114.1.188.32,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:20:43 PM UTC",7.3.2,03BDG493 BIHBUL_PL WEST JAVA,"April 23, 2022 5:01:29 PM UTC",FOC2551N3WM
REACHABLE,Managed,BDG-BHGP-EN1-C506Z,114.1.187.153,114.1.187.153,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:18:45 PM UTC",7.3.2,03BDG040 BHG_PERMAI WEST JAVA,"March 1, 2022 6:52:19 PM UTC",FOC2551P4TQ
REACHABLE,Managed,BDG-BJGL-EN1-C516Z,114.1.186.231,114.1.186.231,Cisco NCS 540X-16Z4G8Q2C-D Router,Completed,"July 20, 2022 8:11:43 PM UTC",7.3.2,03SRN595 BOJONGLOA_SRN_MT WEST JAVA,"November 6, 2021 3:42:38 PM UTC",FOC2536N3W4
REACHABLE,Managed,BDG-BJGS-EN1-C506Z,114.1.188.102,114.1.188.102,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:17:18 PM UTC",7.3.2,03SRN554_BOJONGSOANG_SRN_TB BANDUNG WEST JAVA,"February 21, 2022 4:08:04 PM UTC",FOC2551P4WS
REACHABLE,Managed,BDG-BJHL-EN1-C516Z,114.1.188.6,114.1.188.6,Cisco NCS 540X-16Z4G8Q2C-D Router,Completed,"July 20, 2022 8:15:29 PM UTC",7.3.2,03SRN822 BOJONGHILIR_SRN BANDUNG WEST JAVA ,"February 8, 2022 3:39:40 PM UTC",FOC2547N45F
REACHABLE,Managed,BDG-BJIM-EN1-C506Z,114.1.187.144,114.1.187.144,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:18:51 PM UTC",7.3.2,03SRN033 BANJARAN_IM WEST JAVA,"March 1, 2022 7:43:16 PM UTC",FOC2551N40K
REACHABLE,Managed,BDG-BJRN-EN1-C55A2,114.1.186.117,114.1.186.117,Cisco NCS 55A2-MOD-S,Completed,"July 20, 2022 8:05:34 PM UTC",7.3.2,03SRN007 BANJARAN WEST JAVA,"June 19, 2021 8:50:26 PM UTC",FOC2452R085
REACHABLE,Managed,BDG-BJSG-EN1-C516Z,114.1.186.80,114.1.186.80,Cisco NCS 540X-16Z4G8Q2C-D Router,Completed,"July 20, 2022 8:02:48 PM UTC",7.3.1,03SRN064_BOJONGSOANG WEST JAVA,"April 16, 2021 12:36:37 PM UTC",FOC2506P4QQ
REACHABLE,Managed,BDG-BJSL-EN1-C516Z,114.1.188.80,114.1.188.80,Cisco NCS 540X-16Z8Q2C-D Router,Completed,"July 20, 2022 8:19:53 PM UTC",7.5.2,03SRN772 BOJONGSALAM_SRN_ST WEST JAVA,"April 5, 2022 5:22:22 PM UTC",FOC2615KZL9
REACHABLE,Managed,BDG-BJSR-EN1-C506Z,114.1.187.250,114.1.187.250,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:06:38 PM UTC",7.3.1,03SRN094 BOJONGSARI_XL WEST JAVA,"August 2, 2021 8:10:08 PM UTC",FOC2522NGFS
REACHABLE,Managed,BDG-BKIT-EN1-C506Z,114.1.187.190,114.1.187.190,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:19:01 PM UTC",7.3.2,03BDG067 BUKIT_BDG WEST JAVA,"March 1, 2022 7:48:33 PM UTC",FOC2551N3WS
REACHABLE,Managed,BDG-BKNG-EN1-C506Z,114.1.188.29,114.1.188.29,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:24:07 PM UTC",7.5.2,03SRN119 BJONGKONENG BANDUNG WJRO,"June 14, 2022 7:36:11 PM UTC",FOC2551N3YH
REACHABLE,Managed,BDG-BKTB-EN1-C506Z,114.1.188.28,114.1.188.28,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:24:07 PM UTC",7.5.2,03BDG492 BOJONGKONENG_ATAS_TB BANDUNG WJRO,"June 14, 2022 7:41:03 PM UTC",FOC2544N6Q7
REACHABLE,Managed,BDG-BLDH-EN1-C516Z,114.1.186.81,114.1.186.81,Cisco NCS 540X-16Z4G8Q2C-D Router,Completed,"July 20, 2022 8:03:13 PM UTC",7.3.1,03SRN024 BALE_ENDAH WEST JAVA,"April 23, 2021 3:29:47 PM UTC",FOC2507NDDN
REACHABLE,Managed,BDG-BLDW-EN1-C55A2,114.1.186.90,114.1.186.90,Cisco NCS 55A2-MOD-S,Completed,"July 20, 2022 8:20:46 PM UTC",7.3.2,03BDG341 BALADEWA WEST JAVA,"April 22, 2022 4:51:26 PM UTC",FOC2602R24G
REACHABLE,Managed,BDG-BMSR-EN1-C506Z,114.1.186.245,114.1.186.245,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:12:01 PM UTC",7.3.1,03CMI101 BUMISARI_CMI WEST JAVA,"November 9, 2021 2:48:53 AM UTC",FOC2533N4K2
REACHABLE,Managed,BDG-BNGK-EN1-C506Z,114.1.186.173,114.1.186.173,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:05:31 PM UTC",7.3.1,03SMD057 BONGKOK WEST JAVA,"June 30, 2021 4:53:11 PM UTC",FOC2522NGDA
REACHABLE,Managed,BDG-BNGL-EN1-C506Z,114.1.186.30,114.1.186.30,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:03:48 PM UTC",7.3.2,03BDG552 BATUNUNGGAL_BDG_TB WEST JAVA,"May 28, 2021 9:50:15 AM UTC",FOC2503PG2J
REACHABLE,Managed,BDG-BNGR-EN1-C516Z,114.1.188.91,114.1.188.91,Cisco NCS 540X-16Z8Q2C-D Router,Completed,"July 20, 2022 8:15:40 PM UTC",7.3.27,03SRN597 BUNINAGARA_SRN_ST WEST JAVA,"February 10, 2022 1:06:14 PM UTC",FOC2612NQQ2
UNREACHABLE,Maintenance,BDG-BNGU-EN1-C506Z,114.1.187.194,114.1.187.194,Cisco NCS 540X-6Z18G-SYS-D Router,In Service Maintenance,"May 29, 2022 8:17:35 PM UTC",7.3.2,03BDG171 BUNGURSARI_PL WEST JAVA,"February 22, 2022 7:03:19 AM UTC",FOC2546N930
REACHABLE,Managed,BDG-BNJC-EN1-C55A2,114.1.187.92,114.1.187.92,Cisco NCS 55A2-MOD-S,Completed,"July 20, 2022 8:14:32 PM UTC",7.3.2,03SRN016 BANJARAN_CITY WEST JAVA,"January 19, 2022 3:44:15 AM UTC",FOC2544R1UD
REACHABLE,Managed,BDG-BNJT-EN1-C506Z,114.1.186.35,114.1.186.35,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:02:02 PM UTC",7.3.1,03BDG556_BINONG_JATI_BDG_TB,"April 6, 2021 9:00:00 PM UTC",FOC2503PG9A
REACHABLE,Managed,BDG-BNJY-EN1-C516Z,114.1.188.68,114.1.188.68,Cisco NCS 540X-16Z8Q2C-D Router,Completed,"July 20, 2022 8:22:27 PM UTC",7.5.2,03SRN132 BUNIJAYA_TB WEST JAVA,"May 15, 2022 6:41:00 PM UTC",FOC2615KZCS
REACHABLE,Managed,BDG-BNKS-EN1-C506Z,114.1.187.139,114.1.187.139,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:18:06 PM UTC",7.3.2,03SRN691 BUNISARI_KULON_SRN_PL WEST JAVA,"February 24, 2022 6:57:29 PM UTC",FOC2551P4YV
REACHABLE,Managed,BDG-BNTE-EN1-C506Z,114.1.187.164,114.1.187.164,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:16:14 PM UTC",7.3.2,03BDG201 BANTENG_DALAM_PL WEST JAVA,"February 17, 2022 9:32:03 AM UTC",FOC2551P4WP
REACHABLE,Managed,BDG-BOJC-EN1-C516Z,114.1.188.210,114.1.188.210,Cisco NCS 540X-16Z8Q2C-D Router,Completed,"July 20, 2022 8:24:55 PM UTC",7.5.2,602677 BOJONGRAYA_CARINGIN_TB WEST JAVA,"July 4, 2022 1:44:20 PM UTC",FOC2614K9N4
REACHABLE,Managed,BDG-BPGI-EN1-C506Z,114.1.187.159,114.1.187.159,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:14:54 PM UTC",7.3.2,03BDG070 BABAKAN_PARIGI WEST JAVA,"February 8, 2022 10:49:15 AM UTC",FOC2546N935
REACHABLE,Managed,BDG-BRCK-EN1-C506Z,114.1.186.17,114.1.186.17,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:02:02 PM UTC",7.3.2,03SMD010 BRMB_RANCAEKEK WEST JAVA,"March 24, 2021 8:58:30 AM UTC",FOC2502NNJF
REACHABLE,Managed,BDG-BROC-EN1-C516Z,114.1.188.217,114.1.188.217,Cisco NCS 540X-16Z8Q2C-D Router,Completed,"July 20, 2022 8:25:41 PM UTC",7.5.2,undefined,"July 18, 2022 3:01:56 PM UTC",FOC2614PDF8
REACHABLE,Managed,BDG-BSRI-EN1-C506Z,114.1.187.184,114.1.187.184,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:16:52 PM UTC",7.3.2,03BDG455 BABAKAN_SARI_ WEST JAVA,"February 19, 2022 5:50:54 PM UTC",FOC2551P4WJ
REACHABLE,Managed,BDG-BTCB-AN1-C55A2,114.1.187.77,114.1.187.77,Cisco NCS 55A2-MOD-S,Completed,"July 20, 2022 8:07:44 PM UTC",7.3.1,03BDG041 _BTC_BDG WEST JAVA,"August 9, 2021 6:02:35 PM UTC",FOC2515R2R4
REACHABLE,Managed,BDG-BTJJ-EN1-C506Z,114.1.186.59,114.1.186.59,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:06:18 PM UTC",7.3.2,03SRN298 JLBATUJAJAR_MT WEST JAVA,"July 12, 2021 7:48:48 PM UTC",FOC2522NGGF
UNREACHABLE,Maintenance,BDG-BTJR-EN1-C55A2,114.1.186.145,114.1.186.145,Cisco NCS 55A2-MOD-S,In Service Maintenance,"February 16, 2022 6:07:17 PM UTC",7.3.1,03SRN043 BTJAJARBRT WEST JAVA,"June 24, 2021 8:30:46 PM UTC",FOC2503R00B
REACHABLE,Managed,BDG-BTLY-EN1-C516Z,114.1.188.60,114.1.188.60,Cisco NCS 540X-16Z4G8Q2C-D Router,Completed,"July 20, 2022 8:15:10 PM UTC",7.3.2,03SRN804_BATULAYANG_SRN BANDUNG WEST JAVA,"February 8, 2022 12:10:04 PM UTC",FOC2552NAA8
REACHABLE,Managed,BDG-BTMP-EN1-C516Z,114.1.186.134,114.1.186.134,Cisco NCS 540X-16Z8Q2C-D Router,Completed,"July 20, 2022 8:20:46 PM UTC",7.3.27,03BDG089 BBKN_TEMPE-2 WEST JAVA,"April 20, 2022 8:02:36 PM UTC",FOC2612NQE9
REACHABLE,Managed,BDG-BTWR-EN1-C516Z,114.1.186.213,114.1.186.213,Cisco NCS 540X-16Z4G8Q2C-D Router,Completed,"July 20, 2022 8:12:03 PM UTC",7.3.1,03IND031 BANTARWARU_TB BANDUNG WEST JAVA ,"November 5, 2021 4:13:40 PM UTC",FOC2536N3T1
REACHABLE,Managed,BDG-BULL-EN1-C506Z,114.1.187.185,114.1.187.185,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:17:02 PM UTC",7.3.2,03BDG481 JLBULLDOZER_TB WEST JAVA,"February 19, 2022 8:15:49 PM UTC",FOC2551P4XG
REACHABLE,Managed,BDG-CAPS-EN1-C506Z,114.1.187.215,114.1.187.215,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:18:21 PM UTC",7.3.2,03SRN213 CIAPUS_SOREANG WEST JAVA,"February 26, 2022 10:37:48 AM UTC",FOC2551N418
REACHABLE,Managed,BDG-CATR-AN1-C5504,114.1.187.20,114.1.187.20,Cisco NCS 5504,Completed,"July 20, 2022 8:16:31 PM UTC",7.3.2,03SUB001 CIATER WEST JAVA,"December 14, 2021 7:28:14 AM UTC",FOX2445P4GU
REACHABLE,Managed,BDG-CBBM-EN1-C506Z,114.1.186.182,114.1.186.182,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:06:02 PM UTC",7.3.1,03CMI072 CIBEBER_CMI_MT WEST JAVA,"July 5, 2021 6:15:22 PM UTC",FOC2522NGF8
REACHABLE,Managed,BDG-CBDY-EN1-C506Z,114.1.187.130,114.1.187.130,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:08:25 PM UTC",7.3.1,03BDG506 CIBADUYU_BDG_IB WEST JAVA,"September 7, 2021 6:18:14 PM UTC",FOC2522NGDS
REACHABLE,Managed,BDG-CBGL-EN1-C516Z,114.1.188.70,114.1.188.70,Cisco NCS 540X-16Z8Q2C-D Router,Completed,"July 21, 2022 2:15:10 AM UTC",7.5.2,03CJR421 CIBANGGALA_CJR_PL WEST JAVA,"May 24, 2022 8:08:08 AM UTC",FOC2615KZ5W
REACHABLE,Managed,BDG-CBJN-EN1-C506Z,114.1.187.220,114.1.187.220,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:18:35 PM UTC",7.3.2,03SRN712 CIBOJONG_HAUR_SRN WEST JAVA,"February 28, 2022 8:44:57 PM UTC",FOC2551N40H
REACHABLE,Managed,BDG-CBLG-EN1-C516Z,114.1.186.73,114.1.186.73,Cisco NCS 540X-16Z4G8Q2C-D Router,Completed,"July 20, 2022 8:02:54 PM UTC",7.3.1,03BDG237 CIBALIGO_IT BANDUNG WEST JAVA,"April 11, 2021 6:12:33 PM UTC",FOC2506P4T2
REACHABLE,Managed,BDG-CBLP-EN1-C516Z,114.1.186.76,114.1.186.76,Cisco NCS 540X-16Z4G8Q2C-D Router,Completed,"July 20, 2022 8:03:32 PM UTC",7.3.1,03BDG500 CIBALIGO_PL BANDUNG WEST JAVA,"April 14, 2021 11:27:33 AM UTC",FOC2506P4QD
REACHABLE,Managed,BDG-CBRU-AN1-C5504,114.1.187.2,114.1.187.2,Cisco NCS 5504,Completed,"July 20, 2022 8:14:41 PM UTC",7.3.2,03SRN022 CIBIRU WEST JAVA,"October 16, 2021 4:13:38 PM UTC",FOX2450PAR8
REACHABLE,Managed,BDG-CBRY-EN1-C516Z,114.1.186.62,114.1.186.62,Cisco NCS 540X-16Z4G8Q2C-D Router,Completed,"July 20, 2022 8:02:32 PM UTC",7.3.2,[03SRN089 - CIBURUY],"March 16, 2021 2:25:22 PM UTC",FOC2502PBD8
REACHABLE,Managed,BDG-CBSI-EN1-C506Z,114.1.186.157,114.1.186.157,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:06:47 PM UTC",7.3.2,03SMD064_CIBEUSI_PL BANDUNG WEST JAVA,"August 7, 2021 8:09:35 AM UTC",FOC2522P2KY
REACHABLE,Managed,BDG-CBSM-EN1-C506Z,114.1.186.24,114.1.186.24,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:08:25 PM UTC",7.3.1,03SMD155 CIBEUSI_SMD_TB WEST JAVA,"September 7, 2021 4:46:28 PM UTC",FOC2522NGF4
REACHABLE,Managed,BDG-CBUL-EN1-C516Z,114.1.188.12,114.1.188.12,Cisco NCS 540X-16Z8Q2C-D Router,Completed,"July 20, 2022 8:15:32 PM UTC",7.3.27,03SMD191 CIBULAKAN_SMD_MT WEST JAVA,"February 9, 2022 11:18:18 AM UTC",FOC2612N1RN
REACHABLE,Managed,BDG-CCBL-EN1-C516Z,114.1.188.181,114.1.188.181,Cisco NCS 540X-16Z8Q2C-D Router,Completed,"July 20, 2022 8:23:14 PM UTC",7.5.2,600985 CIDADAPCIUMBULEUIT_PL WEST JAVA,"May 25, 2022 1:16:27 AM UTC",FOC2615KZJX
REACHABLE,Managed,BDG-CCKG-EN1-C516Z,114.1.188.72,114.1.188.72,Cisco NCS 540X-16Z8Q2C-D Router,Completed,"July 20, 2022 8:22:34 PM UTC",7.5.2,03SRN757 CICANGKANG_SRN_PL WEST JAVA,"May 16, 2022 6:55:45 PM UTC",FOC2615KZAQ
REACHABLE,Managed,BDG-CCKS-EN1-C506Z,114.1.186.184,114.1.186.184,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:05:47 PM UTC",7.3.2,03SRN734_CICEKEK_SRN BANDUNG WEST JAVA,"July 5, 2021 4:12:35 PM UTC",FOC2522P2M8
